End station #,LATITUDE,LONGITUDE
31508,38.90509,-76.9941
31258,38.888251,-77.049426
31632,38.897195,-76.983575
31119,38.921074,-77.031887
31603,38.9057,-77.0056
31225,38.90375,-77.06269
31246,38.905126,-77.056887
31628,38.878854,-77.005727
31214,38.9121,-77.0387
31247,38.888553,-77.032429
31229,38.91554,-77.03818
31108,38.888251,-77.049426
31627,38.8767,-77.0178
31231,38.90547,-77.00213
31260,38.894514,-77.031617
31708,38.896104,-77.049882
31252,38.896544,-76.96012
31256,38.878854,-77.005727
31222,38.888553,-77.032429
31105,38.901539,-77.046564
31273,38.895914,-77.026064
31238,38.899032,-77.033354
31208,38.9268,-77.0322
31270,38.888251,-77.049426
31223,38.878433,-77.03023
31217,38.898385,-77.031666
31201,38.8763,-77.0037
31235,38.895914,-77.026064
31619,38.894851,-77.02324
31111,38.921074,-77.031887
31117,38.905737,-77.02227
31257,38.886277,-77.028242
31200,38.90985,-77.034438
31604,38.8923,-77.0436
31264,38.890461,-76.988355
31623,38.9172,-77.0259
31089,38.92333,-77.0352
31608,38.90088,-77.048911
31617,38.9101,-77.0444
31245,38.9057,-77.0056
31509,38.899408,-77.015289
31606,38.894573,-77.01994
31115,38.899408,-77.015289
31266,38.89696,-77.00493
31239,38.890612,-77.084801
31620,38.8792,-76.9953
31255,38.899408,-77.015289
31121,38.900413,-76.982872
31017,38.912719,-77.022155
31610,38.912659,-77.017669
31109,38.8803,-76.9862
31104,38.928121,-77.023795
31276,38.905607,-77.027137
31202,38.900413,-76.982872
31268,38.905996,-77.039802
31278,38.897222,-77.019347
31219,38.9066,-77.05152
31616,38.923583,-77.050046
32027,38.891696,-77.0846
31007,38.886952,-76.996806
31505,38.9155,-77.0222
32045,38.894514,-77.031617
31314,38.921074,-77.031887
31216,38.922925,-77.042581
32002,38.899032,-77.033354
31233,38.905737,-77.02227
31240,38.90366,-77.034846
31302,38.90547,-77.00213
31237,38.89696,-77.00493
31206,38.912939,-77.032085
31607,38.8923,-77.0436
31611,38.905126,-77.056887
31102,38.916787,-77.028139
31005,38.912648,-77.041834
31116,38.912939,-77.032085
31203,38.893028,-77.026013
31112,38.900412,-77.001949
31110,38.888251,-77.049426
31236,38.905996,-77.039802
31274,38.912939,-77.032085
31503,38.992375,-77.100104
31249,38.888251,-77.049426
31113,38.857405,-77.051132
31265,38.910972,-77.00495
31046,39.119765,-77.166093
31615,38.903663,-77.067668
31400,38.899632,-77.031686
