End Station,Latitude,Longitude
31000,38.8763,-77.0037
31001,38.897332,-77.022292
31002,38.86612,-77.08787
31003,38.90276,-77.03863
31004,38.899032,-77.033354
31005,38.902204,-77.04337
31006,38.8763,-77.0037
31007,38.886978,-77.013769
31008,38.9059,-77.0325
31009,38.884,-76.995397
31010,38.915417,-77.012289
31011,38.912939,-77.032085
31012,38.928121,-77.023795
31013,38.848466,-77.051514
31014,38.928644,-76.990955
31015,38.9176,-77.0321
31016,38.820932,-77.053096
31017,38.886372,-77.017701
31018,38.901755,-77.051084
31019,38.888251,-77.049426
31020,38.905067,-77.041779
31021,38.908142,-77.038359
31022,38.9176,-77.0321
31023,38.888553,-77.032429
31024,38.89696,-77.00493
31025,38.90534,-77.046774
31026,38.9154,-77.0446
31027,38.898385,-77.031666
31028,38.91554,-77.03818
31029,39.110314,-77.182669
31030,38.886266,-77.022241
31031,38.8851,-77.0023
31032,38.9155,-77.0222
31033,38.896134,-76.9929
31034,38.912719,-77.022155
31035,38.897274,-76.994749
31036,38.899983,-76.991383
31037,38.922925,-77.042581
31038,38.9101,-77.0444
31039,38.889988,-76.995193
31040,38.90774,-77.071652
31041,38.921074,-77.031887
31042,38.915417,-77.012289
31043,38.9268,-77.0322
31044,38.8803,-76.9862
31045,38.9176,-77.0321
31046,38.897315,-77.070993
31047,38.9066,-77.05152
31048,38.8767,-77.0178
31049,38.846222,-77.069275
31050,38.898412,-77.043182
31051,38.9154,-77.0446
31052,38.9172,-77.0259
31053,38.934267,-77.057979
31054,38.900022,-76.988422
31055,38.90088,-77.048911
31056,38.912648,-77.041834
31057,38.894758,-76.997114
31058,38.892459,-77.046567
31059,38.839912,-77.087083
31060,38.899632,-77.031686
31061,38.84232,-77.089555
31062,38.893028,-77.026013
31063,38.888553,-77.032429
31064,38.9008,-77.047
31065,38.886266,-77.022241
31066,38.9176,-77.0321
31067,38.917761,-77.04062
31068,38.884,-76.995397
31069,38.886372,-77.017701
31070,38.90547,-77.00213
31071,38.888767,-77.02858
31072,38.89696,-77.00493
31073,38.9059,-77.0325
31074,38.90375,-77.06269
31075,38.888553,-77.032429
31076,38.9154,-77.0446
31077,38.894758,-76.997114
31078,38.897857,-77.026975
31079,38.903663,-77.067668
31080,38.894832,-76.987633
31081,38.90985,-77.034438
31082,38.901755,-77.051084
31083,38.923583,-77.050046
31084,38.899983,-76.991383
31085,38.886978,-77.013769
31086,38.90864,-77.02277
31087,38.903827,-77.053485
31088,38.9268,-77.0322
31089,38.888767,-77.02858
31090,38.90304,-77.019027
31091,38.90985,-77.034438
31092,38.888553,-77.032429
31093,38.876737,-76.994468
31094,38.902204,-77.04337
31095,38.903819,-77.0284
31096,38.9086,-77.0323
31097,38.90534,-77.046774
31098,38.90304,-77.019027
31099,38.920669,-77.04368
31100,38.90547,-77.00213
31101,38.90088,-77.048911
31102,38.897446,-77.009888
31103,38.899632,-77.031686
31104,38.922925,-77.042581
31105,38.888251,-77.049426
31106,38.9024,-77.02622
31107,38.888767,-77.02858
31108,38.897857,-77.026975
31109,38.90304,-77.019027
31110,38.975219,-77.016855
31111,38.903827,-77.053485
31112,38.899632,-77.031686
31113,38.894919,-77.046587
31114,38.890612,-77.084801
31115,38.862303,-77.059936
