Duration,Start date,End date,Start station #,Start station,Start Station Lat,Start Station Lng,End station #,End station,LATITUDE,LONGITUDE,Bike number,Member type,LOCKED,INSTALL_DATE,REMOVAL_DATE,NUMBER_OF_BIKES
418,9/21/10 9:01,9/21/10 8:09,31505,Crystal City Metro / 18th & Bell St,38.910972,-77.00495,31805,20th & Crystal Dr,38.944551,-77.063896,W00745,Member,NO,,,1
,,,,,,,31805,15th & Crystal Dr,38.873057,-76.971015,,,,,,
465,9/21/10 10:56,9/21/10 9:11,31225,14th & Rhode Island Ave NW,38.90375,-77.06269,31804,26th & S Clark St,38.932514,-76.992889,W00519,Member,NO,,,6
,,,,,,,31804,14th & R St NW,38.865784,-76.9784,,,,,,
786,9/20/10 22:12,9/20/10 21:08,31601,5th & K St NW,38.8896,-76.9769,31802,Massachusetts Ave & Dupont Circle NW,38.873057,-76.971015,W00961,Member,NO,,,4
,,,,,,,31802,10th & U St NW,38.867373,-76.988039,,,,,,
695,9/21/10 13:31,9/21/10 11:38,31607,Pentagon City Metro / 12th & S Hayes St,38.882915,-76.987907,31801,S Glebe & Potomac Ave,38.9155,-77.0222,W00996,Casual,NO,,,16
,,,,,,,31801,Calvert & Biltmore St NW,38.862669,-76.994637,,,,,,
764,9/21/10 8:21,9/21/10 0:04,31218,16th & Harvard St NW,38.886266,-77.022241,31704,M St & New Jersey Ave SE,38.901385,-76.941877,W01000,Member,NO,,,0
,,,,,,,31704,Massachusetts Ave & Dupont Circle NW,38.901385,-76.941877,,,,,,
2082,9/21/10 15:50,9/21/10 13:16,31700,20th & E St NW,38.860227,-76.966572,31703,Aurora Hills Community Ctr/18th & Hayes St,38.889955,-77.000349,W00773,Member,NO,,,5
,,,,,,,31703,20th & E St NW,38.897063,-76.947446,,,,,,
407,9/20/10 16:22,9/20/10 16:29,31502,14th & V St NW,38.9346,-76.9955,31702,14th & Rhode Island Ave NW,38.900022,-76.988422,W00642,Member,NO,,,14
,,,,,,,31702,20th St & Florida Ave NW,38.878,-76.9607,,,,,,
