Duration,Start date,End date,Start station #,Start station,Start Station Lat,Start Station Lng,End station #,End station,LATITUDE,LONGITUDE,Bike number,Member type,LOCKED
259,1/3/11 18:22,1/3/11 17:45,31502,14th & V St NW,38.9176,-77.0321,31000,Convention Center / 7th & M St NW,38.905737,-77.02227,W00219,Member,NO
,,,,,,,31000,Ward Circle / American University,38.938736,-77.087171,,,
417,1/1/11 10:41,1/1/11 10:48,31107,Lamont & Mt Pleasant NW,38.9319,-77.0388,31001,New Hampshire Ave & T St NW,38.91554,-77.03818,W00599,Member,NO
,,,,,,,31001,19th & L St NW,38.903407,-77.043648,,,
671,1/3/11 10:38,1/3/11 9:55,31226,Maine Ave & 7th St SW,38.878694,-77.023054,31002,Georgetown Harbor / 30th St NW,38.902221,-77.059219,W00766,Member,NO
,,,,,,,31002,20th & Crystal Dr,38.856425,-77.049232,,,
92,1/3/11 15:41,1/3/11 15:04,31001,19th & L St NW,38.903407,-77.043648,31003,Van Ness Metro / UDC,38.944551,-77.063896,W01019,Member,NO
,,,,,,,31003,8th & H St NW,38.8997,-77.023086,,,
1113,1/3/11 12:07,1/3/11 11:32,31006,21st & I St NW,38.9008,-77.047,31004,21st & M St NW,38.903407,-77.043648,W00377,Member,NO
,,,,,,,31004,20th St & Florida Ave NW,38.90534,-77.046774,,,
724,1/3/11 18:40,1/3/11 18:36,31015,New Hampshire Ave & T St NW,38.91554,-77.03818,31005,Columbus Circle / Union Station,38.9154,-77.0446,W00789,Member,NO
,,,,,,,31005,19th St & Pennsylvania Ave NW,38.89696,-77.00493,,,
61,1/3/11 12:17,1/3/11 11:31,31011,19th & E Street NW,38.8952,-77.0436,31006,21st & I St NW,38.9003,-77.0429,W01004,Member,NO
,,,,,,,31006,Eckington Pl & Q St NE,38.9008,-77.047,,,
1214,1/3/11 11:42,1/3/11 10:58,31302,14th & V St NW,38.9176,-77.0321,31007,10th & U St NW,38.910972,-77.00495,W00306,Member,NO
,,,,,,,31007,Massachusetts Ave & Dupont Circle NW,38.9172,-77.0259,,,
474,1/3/11 15:02,1/3/11 14:26,31003,8th & H St NW,38.8997,-77.023086,31008,5th & F St NW,38.8997,-77.023086,W00180,Member,NO
,,,,,,,31008,Maine Ave & 7th St SW,38.9101,-77.0444,,,
897,1/3/11 9:17,1/3/11 9:12,31616,20th St & Florida Ave NW,38.9154,-77.0446,31009,1st & M St NE,38.897222,-77.019347,W01015,Member,NO
,,,,,,,31009,11th & Kenyon St NW,38.878694,-77.023054,,,
766,1/3/11 8:48,1/3/11 7:42,31007,10th & U St NW,38.9172,-77.0259,31010,13th & D St NE,38.9057,-77.0056,W00792,Member,NO
,,,,,,,31010,19th & E Street NW,38.929464,-77.027822,,,
594,1/1/11 15:15,1/1/11 15:24,31110,13th & H St NE,38.900022,-76.988422,31011,15th & P St NW,38.894832,-76.987633,W00604,Casual,NO
,,,,,,,31011,Georgia & New Hampshire Ave NW,38.8952,-77.0436,,,
1156,1/3/11 17:13,1/3/11 16:00,31801,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,31012,Calvert & Biltmore St NW,38.90985,-77.034438,W00803,Member,NO
,,,,,,,31012,14th & V St NW,38.936043,-77.024649,,,
739,1/3/11 15:27,1/3/11 15:11,31804,Adams Mill & Columbia Rd NW,38.922925,-77.042581,31013,14th & Harvard St NW,38.923203,-77.047637,W00666,Member,NO
,,,,,,,31013,Lamont & Mt Pleasant NW,38.9176,-77.0321,,,
248,1/3/11 19:09,1/3/11 18:44,31802,15th & P St NW,38.90985,-77.034438,31014,14th St & Spring Rd NW,38.9172,-77.0259,W00826,Member,NO
,,,,,,,31014,Park Rd & Holmead Pl NW,38.9268,-77.0322,,,
400,1/3/11 19:16,1/3/11 18:54,31232,Park Rd & Holmead Pl NW,38.9308,-77.0315,31015,Lincoln Park / 13th & East Capitol St NE ,38.9319,-77.0388,W00232,Member,NO
,,,,,,,31015,14th & G St NW,38.91554,-77.03818,,,
620,1/3/11 19:26,1/3/11 19:19,31702,Park Rd & Holmead Pl NW,38.9308,-77.0315,31016,4th & East Capitol St NE,38.9375,-77.0328,W00488,Member,NO
,,,,,,,31016,North Capitol St & F St NW,38.9308,-77.0315,,,
451,1/4/11 8:22,1/4/11 7:49,31241,17th & Corcoran St NW,38.9121,-77.0387,31017,7th & T St NW,38.9101,-77.0444,W00326,Member,NO
,,,,,,,31017,13th St & New York Ave NW,38.936043,-77.024649,,,
834,1/3/11 19:13,1/3/11 18:55,31233,10th St & Constitution Ave NW,38.893028,-77.026013,31018,Connecticut Ave & Newark St NW / Cleveland Park,38.890461,-76.988355,W01068,Member,NO
,,,,,,,31018,Georgia Ave and Fairmont St NW,38.898385,-77.031666,,,
362,1/4/11 8:04,1/4/11 7:24,31113,19th & L St NW,38.903407,-77.043648,31019,Adams Mill & Columbia Rd NW,38.89696,-77.00493,W01123,Member,NO
,,,,,,,31019,14th & Rhode Island Ave NW,38.9319,-77.0388,,,
270,1/4/11 10:53,1/4/11 10:31,31246,19th & L St NW,38.903407,-77.043648,31020,19th St & Constitution Ave NW,38.9172,-77.0259,W00935,Member,NO
,,,,,,,31020,5th & K St NW,38.889955,-77.000349,,,
,,,,,,,31021,14th & D St SE,38.897446,-77.009888,W00541,Member,NO
,,,,,,,31021,17th & Corcoran St NW,38.9155,-77.0222,,,
178,1/4/11 8:49,1/4/11 8:25,31245,New Hampshire Ave & T St NW,38.91554,-77.03818,31022,16th & Harvard St NW,38.903407,-77.043648,W00302,Member,NO
,,,,,,,31022,New York Ave & 15th St NW,38.9101,-77.0444,,,
1059,1/3/11 18:41,1/3/11 18:49,31014,14th & Harvard St NW,38.9268,-77.0322,31052,13th & H St NE,38.900283,-77.029822,W00365,Member,NO
1170,1/2/11 14:41,1/2/11 13:21,31620,Adams Mill & Columbia Rd NW,38.922925,-77.042581,31100,Harvard St & Adams Mill Rd NW,38.934267,-77.057979,W00326,Member,NO
,,,,,,,31100,18th & M St NW,38.890461,-76.988355,,,
4140,1/1/11 12:58,1/1/11 14:07,31238,14th & G St NW,38.898385,-77.031666,31101,Good Hope & Naylor Rd SE,38.898385,-77.031666,W00084,Casual,NO
,,,,,,,31101,18th & Eads St.,38.936043,-77.024649,,,
451,1/1/11 12:36,1/1/11 12:44,31112,Harvard St & Adams Mill Rd NW,38.927872,-77.043358,31102,14th & R St NW,38.923203,-77.047637,W00604,Casual,NO
,,,,,,,31102,USDA / 12th & Independence Ave SW,38.9249,-77.0222,,,
1719,1/1/11 13:00,1/1/11 13:28,31400,8th & H St NW,38.8997,-77.023086,31103,14th St & New York Ave NW,38.9176,-77.0321,W00608,Casual,NO
,,,,,,,31103,25th St & Pennsylvania Ave NW,38.9176,-77.0321,,,
1033,1/1/11 0:48,1/1/11 1:05,31300,Van Ness Metro / UDC,38.944551,-77.063896,31104,12th & Newton St NE,38.922925,-77.042581,W00588,Casual,NO
,,,,,,,31104,Potomac & Pennsylvania Ave SE,38.9086,-77.0323,,,
1097,1/1/11 1:43,1/1/11 2:01,31503,Florida Ave & R St NW,38.9126,-77.0135,31105,Bladensburg Rd & Benning Rd NE,38.9268,-77.0322,W00840,Member,NO
,,,,,,,31105,23rd & Crystal Dr,38.8923,-77.0436,,,
188,1/1/11 12:17,1/1/11 12:20,31228,8th & H St NW,38.8997,-77.023086,31106,10th St & Constitution Ave NW,38.90304,-77.019027,W00291,Member,NO
,,,,,,,31106,M St & New Jersey Ave SE,38.929464,-77.027822,,,
1334,1/1/11 16:15,1/1/11 16:11,31222,13th & D St NE,38.894832,-76.987633,31107,17th & K St NW,38.882915,-76.987907,W00951,Member,NO
,,,,,,,31107,4th & M St SW,38.9319,-77.0388,,,
484,1/1/11 17:06,1/1/11 16:45,31203,USDA / 12th & Independence Ave SW,38.886277,-77.028242,31108,Eastern Market / 7th & North Carolina Ave SE,38.9121,-77.0387,W00844,Member,NO
,,,,,,,31108,3rd & D St SE,38.936043,-77.024649,,,
572,1/1/11 16:36,1/1/11 16:36,31217,11th & Kenyon St NW,38.929464,-77.027822,31109,3rd & H St NW,38.926088,-77.036536,W00641,Member,NO
,,,,,,,31109,Florida Ave & R St NW,38.9155,-77.0222,,,
892,1/1/11 14:43,1/1/11 14:58,31227,21st & I St NW,38.9008,-77.047,31110,L'Enfant Plaza / 7th & C St SW,38.899032,-77.033354,W00957,Member,NO
,,,,,,,31110,Eastern Market Metro / Pennsylvania Ave & 7th St SE,38.900022,-76.988422,,,
326,1/1/11 1:06,1/1/11 1:11,31109,7th & T St NW,38.9155,-77.0222,31111,27th & Crystal Dr,38.9172,-77.0259,W00512,Member,NO
,,,,,,,31111,1st & N St  SE,38.9172,-77.0259,,,
927,1/3/11 17:05,1/3/11 15:30,31504,25th St & Pennsylvania Ave NW,38.903827,-77.053485,31112,,38.90985,-77.034438,W00879,Member,NO
,,,,,,,31112,19th & L St NW,38.927872,-77.043358,,,
