Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type
715,2015-04-01 06:19:15,2015-04-01 06:31:10,31638,1st & H St NW,31239,Rhode Island & Connecticut Ave NW,W21397,Member
607,2015-04-01 06:23:43,2015-04-01 06:33:50,31628,1st & K St SE,31623,Columbus Circle / Union Station,W21972,Member
536,2015-04-01 06:46:13,2015-04-01 06:55:09,31111,10th & U St NW,31239,Rhode Island & Connecticut Ave NW,W20831,Member
263,2015-04-01 06:51:57,2015-04-01 06:56:21,31239,Rhode Island & Connecticut Ave NW,31266,11th & M St NW,W00619,Member
1204,2015-04-01 07:14:39,2015-04-01 07:34:44,31400,Georgia & New Hampshire Ave NW,31246,M St & Pennsylvania Ave NW,W01412,Member
885,2015-04-01 07:24:13,2015-04-01 07:38:58,31631,8th & F St NE,31256,10th & E St NW,W00867,Member
538,2015-04-01 07:44:40,2015-04-01 07:53:39,31229,New Hampshire Ave & T St NW,31275,New Hampshire Ave & 24th St NW,W20351,Member
537,2015-04-01 07:45:20,2015-04-01 07:54:18,31202,14th & R St NW,31216,14th St & New York Ave NW,W21583,Member
1027,2015-04-01 07:55:10,2015-04-01 08:12:17,31218,L'Enfant Plaza / 7th & C St SW,31259,20th St & Virginia Ave NW,W01228,Casual
1041,2015-04-01 08:00:48,2015-04-01 08:18:10,31115,Columbia Rd & Georgia Ave NW,31638,1st & H St NW,W00068,Member
407,2015-04-01 08:02:25,2015-04-01 08:09:13,31600,5th & K St NW,31262,11th & F St NW,W21689,Member
1208,2015-04-01 08:02:51,2015-04-01 08:22:59,31400,Georgia & New Hampshire Ave NW,31638,1st & H St NW,W01285,Member
1020,2015-04-01 08:03:56,2015-04-01 08:20:56,31503,Florida Ave & R St NW,31212,21st & M St NW,W20352,Member
854,2015-04-01 08:35:45,2015-04-01 08:49:59,31223,Convention Center / 7th & M St NW,31204,20th & E St NW,W01289,Member
141,2015-04-01 08:58:09,2015-04-01 09:00:30,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,31308,39th & Veazey St NW,W20158,Member
179,2015-04-01 09:06:50,2015-04-01 09:09:49,31021,Clarendon Blvd & N Fillmore St,31089,Court House Metro / 15th & N Uhle St ,W20257,Member
884,2015-04-01 09:21:46,2015-04-01 09:36:31,31604,3rd & H St NW,31258,Lincoln Memorial,W00376,Member
456,2015-04-01 09:29:03,2015-04-01 09:36:40,31403,5th & Kennedy St NW,31515,Fort Totten Metro,W01192,Member
360,2015-04-01 09:33:30,2015-04-01 09:39:31,31618,4th & East Capitol St NE,31623,Columbus Circle / Union Station,W21324,Member
324,2015-04-01 09:35:59,2015-04-01 09:41:23,31031,15th & N Scott St,31014,Lynn & 19th St North,W20695,Member
721,2015-04-01 09:39:11,2015-04-01 09:51:12,31119,14th & Belmont St NW,31227,13th St & New York Ave NW,W00214,Member
401,2015-04-01 09:39:56,2015-04-01 09:46:38,31618,4th & East Capitol St NE,31271,Constitution Ave & 2nd St NW/DOL,W20805,Member
489,2015-04-01 09:41:50,2015-04-01 09:50:00,31623,Columbus Circle / Union Station,31274,10th & G St NW,W20298,Member
307,2015-04-01 10:36:24,2015-04-01 10:41:31,31205,21st & I St NW,31221,18th & M St NW,W00700,Member
609,2015-04-01 11:17:38,2015-04-01 11:27:48,31247,Jefferson Dr & 14th St SW,31228,8th & H St NW,W20784,Member
917,2015-04-01 11:41:11,2015-04-01 11:56:28,31301,Ward Circle / American University,31200,Massachusetts Ave & Dupont Circle NW,W01004,Member
832,2015-04-01 11:44:25,2015-04-01 11:58:18,31629,8th & East Capitol St NE,31218,L'Enfant Plaza / 7th & C St SW,W00519,Member
1276,2015-04-01 12:08:33,2015-04-01 12:29:50,31258,Lincoln Memorial,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,W20294,Casual
2556,2015-04-01 12:30:11,2015-04-01 13:12:47,31258,Lincoln Memorial,31247,Jefferson Dr & 14th St SW,W00661,Casual
5732,2015-04-01 12:47:24,2015-04-01 14:22:56,31046,Henry St & Pendleton St,31046,Henry St & Pendleton St,W20825,Casual
202,2015-04-01 12:52:01,2015-04-01 12:55:23,31222,New York Ave & 15th St NW,31222,New York Ave & 15th St NW,W20915,Casual
1135,2015-04-01 13:19:33,2015-04-01 13:38:28,31269,3rd St & Pennsylvania Ave SE,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,W00931,Casual
1037,2015-04-01 13:39:20,2015-04-01 13:56:38,31217,USDA / 12th & Independence Ave SW,31232,7th & F St NW / National Portrait Gallery,W00854,Casual
307,2015-04-01 13:47:02,2015-04-01 13:52:10,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,31302,Wisconsin Ave & Newark St NW,W21957,Member
364,2015-04-01 13:58:18,2015-04-01 14:04:22,31277,17th & G St NW,31277,17th & G St NW,W22127,Member
1219,2015-04-01 13:59:36,2015-04-01 14:19:55,31276,15th & L St NW,31624,North Capitol St & F St NW,W20983,Member
1167,2015-04-01 13:59:56,2015-04-01 14:19:24,31624,North Capitol St & F St NW,31219,10th St & Constitution Ave NW,W21398,Casual
999,2015-04-01 14:02:10,2015-04-01 14:18:50,31110,20th St & Florida Ave NW,31275,New Hampshire Ave & 24th St NW,W20997,Member
606,2015-04-01 14:07:57,2015-04-01 14:18:04,31202,14th & R St NW,31114,18th St & Wyoming Ave NW,W20631,Member
570,2015-04-01 14:18:26,2015-04-01 14:27:56,31236,37th & O St NW / Georgetown University,31200,Massachusetts Ave & Dupont Circle NW,W20253,Member
2764,2015-04-01 14:30:11,2015-04-01 15:16:15,31249,Jefferson Memorial,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,W21467,Casual
745,2015-04-01 14:43:14,2015-04-01 14:55:39,31267,17th St & Massachusetts Ave NW,31104,Adams Mill & Columbia Rd NW,W21995,Member
